Time,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
1.143753,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.351562,12.375000,0.125000,0.031250,0.031250,0.062500,
1.162556,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.351562,12.367188,0.093750,0.031250,0.031250,0.062500,
1.182531,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.343750,12.382812,0.093750,0.031250,0.031250,0.062500,
1.202502,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.351562,12.382812,0.093750,0.031250,0.031250,0.062500,
1.222558,0.059814,-0.059814,0.000000,0.000000,12.562500,12.296875,12.351562,12.382812,0.093750,0.031250,0.031250,0.062500,
1.242856,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.343750,12.375000,0.093750,0.031250,0.062500,0.062500,
1.262537,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.351562,12.375000,0.093750,0.031250,0.031250,0.062500,
1.282580,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.351562,12.375000,0.125000,0.031250,0.031250,0.062500,
1.302576,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.351562,12.390625,0.093750,0.031250,0.031250,0.062500,
1.322629,0.059814,-0.059814,0.000000,0.000000,12.570312,12.320312,12.351562,12.382812,0.093750,0.031250,0.031250,0.062500,
1.342338,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.351562,12.382812,0.125000,0.031250,0.031250,0.093750,
1.362329,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.351562,12.390625,0.093750,0.000000,0.031250,0.062500,
1.382379,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.351562,12.390625,0.125000,0.031250,0.031250,0.062500,
1.402687,0.059814,-0.059814,0.000000,0.000000,12.570312,12.304688,12.351562,12.382812,0.093750,0.031250,0.031250,0.093750,
1.422396,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.343750,12.382812,0.125000,0.031250,0.031250,0.062500,
1.442379,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.343750,12.382812,0.125000,0.031250,0.031250,0.062500,
1.462378,0.059814,-0.059814,0.000000,0.000000,12.570312,12.304688,12.359375,12.390625,0.125000,0.031250,0.031250,0.062500,
1.482620,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.351562,12.382812,0.125000,0.031250,0.031250,0.062500,
1.502337,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.351562,12.382812,0.125000,0.031250,0.062500,0.062500,
1.522616,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.351562,12.382812,0.125000,0.000000,0.031250,0.062500,
1.542595,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.343750,12.390625,0.093750,0.031250,0.031250,0.062500,
1.562405,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.351562,12.382812,0.125000,0.031250,0.031250,0.062500,
1.582551,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.343750,12.375000,0.125000,0.031250,0.031250,0.062500,
1.602578,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.351562,12.382812,0.093750,0.000000,0.031250,0.062500,
1.622297,0.178560,0.118746,0.000000,0.000000,12.507812,12.304688,12.351562,12.390625,0.000000,0.031250,0.125000,0.062500,
