Time,MatchTime,LeadRPM,LeadAppliedOutput,LeadBusVoltage,LeadCurrent
33.800095,-1.000000,0.000000,0.000000,12.226562,0.000000
33.820028,-1.000000,0.000000,0.000000,12.234375,0.000000
33.840084,-1.000000,0.000000,0.000000,12.242188,0.000000
33.860061,-1.000000,0.000000,0.000000,12.226562,0.000000
33.880123,-1.000000,0.000000,0.000000,12.242188,0.000000
33.899903,-1.000000,0.000000,0.000000,12.234375,0.000000
33.919927,-1.000000,0.000000,0.000000,12.234375,0.000000
33.940191,-1.000000,0.000000,0.000000,12.234375,0.000000
33.960116,-1.000000,0.000000,0.000000,12.234375,0.000000
33.980001,-1.000000,0.000000,0.000000,12.234375,0.000000
33.999968,-1.000000,0.000000,0.000000,12.234375,0.000000
34.019986,-1.000000,0.000000,0.000000,12.234375,0.000000
34.040056,-1.000000,0.000000,0.000000,12.234375,0.000000
34.060066,-1.000000,0.000000,0.000000,12.242188,0.000000
34.079939,-1.000000,0.000000,0.000000,12.226562,0.000000
34.099903,-1.000000,0.000000,0.000000,12.226562,0.000000
34.119884,-1.000000,0.000000,0.000000,12.234375,0.000000
34.140066,-1.000000,0.000000,0.000000,12.242188,0.000000
34.160038,-1.000000,0.000000,0.000000,12.234375,0.000000
34.180341,-1.000000,0.000000,0.000000,12.234375,0.000000
34.200026,-1.000000,0.000000,0.000000,12.234375,0.000000
34.220075,-1.000000,0.000000,0.000000,12.234375,0.000000
34.239961,-1.000000,0.000000,0.000000,12.234375,0.000000
34.259880,-1.000000,0.000000,0.000000,12.226562,0.000000
34.279903,-1.000000,0.000000,0.000000,12.234375,0.000000
34.300026,-1.000000,0.000000,0.000000,12.234375,0.000000
34.320021,-1.000000,0.000000,0.000000,12.234375,0.000000
34.339980,-1.000000,0.000000,0.000000,12.226562,0.000000
34.360007,-1.000000,0.000000,0.000000,12.226562,0.000000
34.380073,-1.000000,0.000000,0.000000,12.234375,0.000000
34.399979,-1.000000,0.000000,0.000000,12.226562,0.000000
34.420025,-1.000000,0.000000,0.000000,12.234375,0.000000
34.440129,-1.000000,0.000000,0.000000,12.226562,0.000000
34.460058,-1.000000,0.000000,0.000000,12.226562,0.000000
34.480015,-1.000000,0.000000,0.000000,12.226562,0.000000
34.500088,-1.000000,0.000000,0.000000,12.210938,0.000000
34.519878,-1.000000,0.000000,0.000000,12.226562,0.000000
34.540096,-1.000000,0.000000,0.000000,12.226562,0.000000
34.559967,-1.000000,0.000000,0.000000,12.218750,0.000000
34.579932,-1.000000,0.000000,0.000000,12.226562,0.000000
34.599943,-1.000000,0.000000,0.000000,12.226562,0.000000
34.620056,-1.000000,0.000000,0.000000,12.234375,0.000000
34.640054,-1.000000,0.000000,0.000000,12.226562,0.000000
34.660010,-1.000000,0.000000,0.000000,12.234375,0.000000
34.679912,-1.000000,0.000000,0.000000,12.218750,0.000000
34.700116,-1.000000,0.000000,0.000000,12.234375,0.000000
34.720129,-1.000000,0.000000,0.000000,12.234375,0.000000
34.740070,-1.000000,0.000000,0.000000,12.234375,0.000000
34.760055,-1.000000,0.000000,0.000000,12.234375,0.000000
34.780056,-1.000000,0.000000,0.000000,12.226562,0.000000
34.800041,-1.000000,0.000000,0.000000,12.234375,0.000000
34.820106,-1.000000,0.000000,0.000000,12.234375,0.000000
34.840116,-1.000000,0.000000,0.000000,12.242188,0.000000
34.859884,-1.000000,0.000000,0.000000,12.234375,0.000000
34.880124,-1.000000,0.000000,0.000000,12.226562,0.000000
34.900036,-1.000000,0.000000,0.000000,12.234375,0.000000
34.920009,-1.000000,0.000000,0.000000,12.242188,0.000000
34.940233,-1.000000,0.000000,0.000000,12.226562,0.000000
34.959983,-1.000000,0.000000,0.000000,12.218750,0.000000
34.980016,-1.000000,0.000000,0.000000,12.218750,0.000000
34.999975,-1.000000,0.000000,0.000000,12.226562,0.000000
35.020111,-1.000000,0.000000,0.000000,12.226562,0.000000
35.039914,-1.000000,0.000000,0.000000,12.226562,0.000000
35.059944,-1.000000,0.000000,0.000000,12.218750,0.000000
35.079972,-1.000000,0.000000,0.000000,12.226562,0.000000
35.099852,-1.000000,0.000000,0.000000,12.226562,0.000000
35.120058,-1.000000,0.000000,0.000000,12.234375,0.000000
35.140027,-1.000000,0.000000,0.000000,12.234375,0.000000
35.159930,-1.000000,0.000000,0.000000,12.226562,0.000000
35.179888,-1.000000,0.000000,0.000000,12.234375,0.000000
35.199952,-1.000000,0.000000,0.000000,12.234375,0.000000
35.220239,-1.000000,0.000000,0.000000,12.226562,0.000000
35.240011,-1.000000,0.000000,0.000000,12.242188,0.000000
35.259964,-1.000000,0.000000,0.000000,12.250000,0.000000
35.279994,-1.000000,0.000000,0.000000,12.242188,0.000000
35.300226,-1.000000,0.000000,0.000000,12.250000,0.000000
35.319920,-1.000000,0.000000,0.000000,12.242188,0.000000
35.340108,-1.000000,0.000000,0.000000,12.242188,0.000000
35.360119,-1.000000,0.000000,0.000000,12.234375,0.000000
35.379935,-1.000000,0.000000,0.000000,12.234375,0.000000
35.400263,-1.000000,0.000000,0.000000,12.226562,0.000000
35.420045,-1.000000,0.000000,0.000000,12.226562,0.000000
35.440019,-1.000000,0.000000,0.000000,12.234375,0.000000
35.460106,-1.000000,0.000000,0.000000,12.218750,0.000000
35.480088,-1.000000,0.000000,0.000000,12.226562,0.000000
35.500123,-1.000000,0.000000,0.000000,12.234375,0.000000
35.519905,-1.000000,0.000000,0.000000,12.234375,0.000000
35.539928,-1.000000,0.000000,0.000000,12.226562,0.000000
35.559889,-1.000000,0.000000,0.000000,12.234375,0.000000
35.579937,-1.000000,0.000000,0.000000,12.242188,0.000000
35.600103,-1.000000,0.000000,0.000000,12.250000,0.000000
35.620003,-1.000000,0.000000,0.000000,12.242188,0.000000
35.639876,-1.000000,0.000000,0.000000,12.242188,0.000000
35.660093,-1.000000,0.000000,0.000000,12.242188,0.000000
35.680021,-1.000000,0.000000,0.000000,12.234375,0.000000
35.700072,-1.000000,0.000000,0.000000,12.226562,0.000000
35.720106,-1.000000,0.000000,0.000000,12.234375,0.000000
35.739935,-1.000000,0.000000,0.000000,12.234375,0.000000
35.759974,-1.000000,0.000000,0.000000,12.234375,0.000000
35.779918,-1.000000,0.000000,0.000000,12.226562,0.000000
35.799915,-1.000000,0.000000,0.000000,12.226562,0.000000
35.820170,-1.000000,0.000000,0.000000,12.226562,0.000000
35.839924,-1.000000,0.000000,0.000000,12.226562,0.000000
35.859851,-1.000000,0.000000,0.000000,12.218750,0.000000
35.880006,-1.000000,0.000000,0.000000,12.218750,0.000000
35.899980,-1.000000,0.000000,0.000000,12.218750,0.000000
35.920078,-1.000000,0.000000,0.000000,12.226562,0.000000
35.940130,-1.000000,0.000000,0.000000,12.242188,0.000000
35.960166,-1.000000,0.000000,0.000000,12.242188,0.000000
35.980006,-1.000000,0.000000,0.000000,12.226562,0.000000
36.000143,-1.000000,0.000000,0.000000,12.234375,0.000000
36.020064,-1.000000,0.000000,0.000000,12.234375,0.000000
36.039909,-1.000000,0.000000,0.000000,12.234375,0.000000
36.059923,-1.000000,0.000000,0.000000,12.226562,0.000000
36.080112,-1.000000,0.000000,0.000000,12.234375,0.000000
36.099903,-1.000000,0.000000,0.000000,12.226562,0.000000
36.120070,-1.000000,0.000000,0.000000,12.234375,0.000000
36.139991,-1.000000,0.000000,0.000000,12.234375,0.000000
36.159998,-1.000000,0.000000,0.000000,12.242188,0.000000
36.180210,-1.000000,0.000000,0.000000,12.234375,0.000000
36.199951,-1.000000,0.000000,0.000000,12.234375,0.000000
36.220001,-1.000000,0.000000,0.000000,12.234375,0.000000
36.240141,-1.000000,0.000000,0.000000,12.242188,0.000000
36.259893,-1.000000,0.000000,0.000000,12.226562,0.000000
36.279981,-1.000000,0.000000,0.000000,12.234375,0.000000
36.300113,-1.000000,0.000000,0.000000,12.234375,0.000000
36.320275,-1.000000,0.000000,0.000000,12.226562,0.000000
36.339848,-1.000000,0.000000,0.000000,12.242188,0.000000
36.360012,-1.000000,0.000000,0.000000,12.242188,0.000000
36.380097,-1.000000,0.000000,0.000000,12.242188,0.000000
36.400129,-1.000000,0.000000,0.000000,12.250000,0.000000
36.420104,-1.000000,0.000000,0.000000,12.242188,0.000000
36.440014,-1.000000,0.000000,0.000000,12.242188,0.000000
36.460067,-1.000000,0.000000,0.000000,12.242188,0.000000
36.480057,-1.000000,0.000000,0.000000,12.242188,0.000000
36.500093,-1.000000,0.000000,0.000000,12.242188,0.000000
36.519916,-1.000000,0.000000,0.000000,12.242188,0.000000
36.539923,-1.000000,0.000000,0.000000,12.250000,0.000000
36.560018,-1.000000,0.000000,0.000000,12.234375,0.000000
36.579930,-1.000000,0.000000,0.000000,12.242188,0.000000
36.600025,-1.000000,0.000000,0.000000,12.226562,0.000000
36.620009,-1.000000,0.000000,0.000000,12.242188,0.000000
36.639884,-1.000000,0.000000,0.000000,12.234375,0.000000
