Time,TargetLocked,VisionDriveActive,Distance,DistanceError,AngleError,Speed,Omega
8.120135,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
8.140124,1,1,7.276489,2.723511,3.669861,0.000000,-0.183493
8.160086,1,1,7.276489,2.723511,3.669861,0.000000,-0.183493
8.180086,1,1,7.297889,2.702111,3.622711,0.000000,-0.181136
8.200050,1,1,7.297889,2.702111,3.622711,0.000000,-0.181136
8.220107,1,1,7.297889,2.702111,3.622711,0.000000,-0.181136
8.240101,1,1,7.239097,2.760903,3.606651,0.000000,-0.180333
8.260151,1,1,7.283159,2.716841,3.673599,0.000000,-0.183680
8.280126,1,1,7.297889,2.702111,3.622711,0.000000,-0.181136
8.300131,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
8.320094,1,1,7.297889,2.702111,3.622711,0.000000,-0.181136
8.340122,1,1,7.297889,2.702111,3.622711,0.000000,-0.181136
8.360141,1,1,7.297889,2.702111,3.622711,0.000000,-0.181136
8.380070,1,1,7.297889,2.702111,3.622711,0.000000,-0.181136
8.400088,1,1,7.297889,2.702111,3.622711,0.000000,-0.181136
8.420109,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
8.440669,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
8.460090,1,1,7.297889,2.702111,3.622711,0.000000,-0.181136
8.480190,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
8.500299,1,1,7.297889,2.702111,3.622711,0.000000,-0.181136
8.520082,1,1,7.297889,2.702111,3.622711,0.000000,-0.181136
8.540094,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
8.560106,1,1,7.283159,2.716841,3.673599,0.000000,-0.183680
8.580137,1,1,7.297889,2.702111,3.622711,0.000000,-0.181136
8.600117,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
8.620351,1,1,7.297889,2.702111,3.622711,0.000000,-0.181136
8.640067,1,1,7.297889,2.702111,3.622711,0.000000,-0.181136
8.660084,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
8.680106,1,1,7.297889,2.702111,3.622711,0.000000,-0.181136
8.700098,1,1,7.297889,2.702111,3.622711,0.000000,-0.181136
8.720109,1,1,7.297889,2.702111,3.622711,0.000000,-0.181136
8.740112,1,1,7.283159,2.716841,3.673599,0.000000,-0.183680
8.760077,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
8.780077,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
8.800110,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
8.820129,1,1,7.283159,2.716841,3.673599,0.000000,-0.183680
8.840074,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
8.860101,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
8.880058,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
8.900112,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
8.920073,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
8.940079,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
8.960060,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
8.980055,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.000160,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.020149,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.040115,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.060062,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.080052,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.100125,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.120122,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.140066,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.160134,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.180057,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.200127,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.220076,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.240115,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.260116,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.280227,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.300122,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.320155,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.340133,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.360105,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.380150,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.400158,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.420074,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.440101,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.460845,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.480202,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.500071,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.520092,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.540189,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.560048,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.580098,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.600094,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.620179,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.640144,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.660070,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
