Time,Position,Error,Speed,Voltage
1.84767,-3.88125,-14,-150,-3.46305,
1.88129,-3.98403,0,-151.25,-2.72097,
1.90376,-4.03542,9,-151.667,-2.65029,
1.92904,-4.08611,-15,-152.083,-3.44194,
1.95345,-4.13611,-8,-152.5,-3.26452,
1.97683,-4.23681,0,-152.5,-2.98065,
1.98648,-4.23681,4,-152.5,-2.76774,
0.002223,-4.23681,4,-152.5,-2.76774,
0.005567,-4.28611,25,-152.083,0,
0.011964,-4.28611,4,-152.083,-3.15806,
0.019685,-4.28611,4,-150.833,-3.18172,
0.028202,-4.33333,2,-150.833,-3.19487,
0.03631,-4.33333,125,-150.833,-0.985777,
0.038921,-4.33333,125,-150.833,-0.985777,
0.054659,-4.38194,1,-149.583,-3.15924,
0.059326,-4.38194,1,-147.917,-3.15924,
0.076115,-4.42986,-3,-147.917,-3.18299,
0.081434,-4.47569,-3,-146.25,-3.18299,
0.09954,-4.47569,-4,-145,-3.17111,
0.107704,-4.52847,-2,-145,-3.11173,
0.118452,-4.52847,-2,-145,-3.11173,
0.122326,-4.57639,-2,-144.583,-3.11173,
0.1356,-4.57639,1,-144.583,-3.0761,
0.13977,-4.57639,4,-144.583,-3.00484,
0.172881,-4.67431,9,-145.833,-2.90968,
0.179447,-4.67431,10,-146.25,-2.93333,
0.194334,-4.72222,10,-146.25,-2.93333,
0.198351,-4.72222,16,-146.25,-2.83871,
0.211903,-4.77083,16,-146.667,-2.83871,
0.214251,-4.77083,16,-146.667,-2.83871,
0.227718,-4.81875,18,-146.25,-2.7914,
0.230545,-4.81875,18,-146.25,-2.7914,
0.256824,-4.9125,20,-144.167,-2.71979,
0.281824,-4.96111,19,-143.75,-2.7673,
0.298042,-4.96111,18,-143.75,-2.74355,
0.304732,-5.00903,18,-142.917,-2.64853,
0.322995,-5.05764,23,-142.917,-2.64853,
0.330515,-5.05764,26,-142.917,-2.58915,
0.346116,-5.10486,27,-143.333,-2.55352,
0.350168,-5.10486,27,-143.333,-2.57727,
0.375825,-5.15278,31,-143.333,-2.50601,
0.3822,-5.19861,36,-143.333,-2.43284,
0.418482,-5.24444,33,-141.667,-2.46862,
0.424331,-5.28889,33,-141.667,-2.39707,
0.456491,-5.33194,31,-139.583,-2.34936,
0.472108,-5.37639,31,-137.5,-2.37322,
0.485833,-5.42014,28,-135.417,-2.42092,
0.50159,-5.46181,30,-133.333,-2.36129,
0.515296,-5.46181,29,-133.333,-2.32551,
0.533744,-5.50347,27,-131.667,-2.33744,
0.547357,-5.54514,24,-130,-2.38514,
0.550649,-5.54514,22,-130,-2.40899,
0.571625,-5.58681,23,-128.333,-2.34936,
0.573731,-5.58681,23,-128.333,-2.34936,
0.599155,-5.62708,22,-125.417,-2.33744,
0.613589,-5.66667,21,-125.417,-2.28974,
0.630907,-5.70556,18,-123.333,-2.31359,
0.635948,-5.70556,18,-123.333,-2.23011,
0.647323,-5.74306,22,-121.667,-2.23011,
0.649589,-5.74306,19,-121.667,-2.25396,
0.679017,-5.78056,16,-119.583,-2.28974,
0.687922,-5.81736,15,-117.5,-2.23011,
0.718428,-5.85347,9,-113.333,-2.31359,
0.730641,-5.89028,13,-113.333,-2.19433,
0.743257,-5.92639,11,-111.667,-2.17048,
0.751722,-5.92639,12,-111.667,-2.17048,
0.762498,-5.9625,11,-110.417,-2.1824,
0.770276,-5.9625,12,-110.417,-2.14663,
0.79376,-5.99861,10,-109.583,-2.17048,
0.796415,-5.99861,10,-109.583,-2.17048,
0.807606,-6.03403,13,-108.75,-2.11085,
0.809435,-6.03403,13,-108.75,-2.11085,
0.83441,-6.06944,15,-108.333,-2.0393,
0.837293,-6.06944,16,-108.333,-2.0393,
0.851523,-6.10278,15,-107.5,-2.02737,
0.854251,-6.10278,15,-107.5,-2.02737,
0.879297,-6.13681,13,-105,-2.02737,
0.889752,-6.16944,15,-105,-1.96774,
0.904834,-6.20139,13,-103.333,-1.99159,
0.912308,-6.20139,15,-103.333,-1.94389,
0.919356,-6.20139,15,-103.333,-1.94389,
0.924146,-6.23333,14,-101.25,-1.93196,
0.950334,-6.26458,9,-99.5833,-1.96774,
0.955363,-6.26458,9,-99.5833,-1.89619,
0.973592,-6.29514,9,-97.9167,-1.95582,
0.976364,-6.29514,9,-97.9167,-1.95582,
0.997735,-6.32361,7,-95.8333,-1.91593,
1.004,-6.35278,8,-93.75,-1.89198,
1.02282,-6.38125,3,-91.6667,-1.91593,
1.03489,-6.38125,3,-91.6667,-1.89198,
1.04472,-6.41042,1,-89.5833,-1.91593,
1.04714,-6.41042,1,-89.5833,-1.91593,
1.07429,-6.43889,1,-87.9167,-1.88001,
1.07919,-6.43889,2,-87.9167,-1.84409,
1.11239,-6.49306,4,-85.8333,-1.76026,
1.12078,-6.51806,2,-84.5833,-1.78421,
1.1325,-6.51806,0,-84.5833,-1.79619,
1.13625,-6.51806,0,-84.5833,-1.79619,
1.14791,-6.54375,1,-82.9167,-1.77224,
1.15019,-6.54375,1,-82.9167,-1.77224,
1.17439,-6.56944,-1,-81.25,-1.72434,
1.17923,-6.56944,-1,-79.1667,-1.72434,
1.21094,-6.61806,-8,-77.0833,-1.79619,
1.21769,-6.61806,-8,-77.0833,-1.70039,
1.23866,-6.64236,-6,-75.8333,-1.71237,
1.24363,-6.66458,-8,-74.5833,-1.76026,
1.27345,-6.6875,-6,-73.3333,-1.65249,
1.28363,-6.70972,-6,-71.6667,-1.65249,
1.29062,-6.70972,-8,-71.6667,-1.67644,
1.29338,-6.70972,-8,-71.6667,-1.67644,
1.31557,-6.73264,-6,-70.4167,-1.60459,
1.32153,-6.75347,-4,-69.1667,-1.5567,
1.33995,-6.77431,-6,-67.9167,-1.56867,
1.34244,-6.77431,-7,-67.9167,-1.58065,
1.35132,-6.77431,-7,-67.9167,-1.58065,
1.35364,-6.77431,-6,-67.9167,-1.54472,
1.37555,-6.79444,-6,-66.25,-1.5088,
1.38252,-6.81458,-8,-65,-1.53275,
1.40572,-6.83472,-10,-63.3333,-1.47287,
1.41142,-6.83472,-7,-63.3333,-1.47287,
1.41823,-6.83472,-9,-63.3333,-1.48485,
1.42043,-6.85417,-9,-62.0833,-1.48485,
1.43065,-6.85417,-7,-62.0833,-1.44892,
1.43266,-6.85417,-7,-62.0833,-1.44892,
1.46798,-6.89236,-10,-60,-1.4609,
1.47696,-6.89236,-7,-60,-1.413,
1.48391,-6.91042,-4,-59.1667,-1.32918,
1.49028,-6.92778,-5,-57.9167,-1.37708,
1.51351,-6.92778,-7,-57.9167,-1.37708,
1.51871,-6.92778,-5,-57.9167,-1.30523,
1.53611,-6.94514,-7,-56.6667,-1.32918,
1.53942,-6.94514,-9,-56.6667,-1.34115,
1.54788,-6.96181,-9,-55,-1.34115,
1.55043,-6.96181,-7,-55,-1.29326,
1.57304,-6.97847,-10,-53.75,-1.32918,
1.57605,-6.97847,-10,-53.75,-1.32918,
1.59728,-6.99375,-10,-52.0833,-1.26931,
1.60314,-7.00903,-8,-50.4167,-1.22141,
1.61572,-7.00903,-8,-50.4167,-1.23338,
1.61833,-7.00903,-10,-50.4167,-1.23338,
1.63318,-7.02431,-9,-49.1667,-1.22141,
1.63674,-7.02431,-9,-49.1667,-1.22141,
1.65639,-7.03889,-10,-47.9167,-1.19746,
1.66511,-7.05208,-9,-46.6667,-1.14956,
1.67825,-7.05208,-11,-46.6667,-1.17351,
1.68207,-7.06528,-13,-45,-1.18548,
1.69053,-7.06528,-13,-45,-1.18548,
1.69303,-7.06528,-13,-45,-1.18548,
1.70837,-7.07778,-12,-43.3333,-1.14956,
1.71086,-7.07778,-12,-43.3333,-1.14956,
1.73844,-7.08889,-17,-41.6667,-1.17351,
1.74635,-7.1,-17,-39.5833,-1.08969,
1.75347,-7.1,-14,-39.5833,-1.08969,
1.75591,-7.1,-14,-39.5833,-1.08969,
1.77219,-7.10972,-17,-37.9167,-1.10166,
1.77624,-7.10972,-17,-37.9167,-1.10166,
1.80336,-7.13056,-20,-34.1667,-1.07771,
1.81237,-7.13056,-20,-34.1667,-1.08969,
1.81994,-7.14028,-22,-32.5,-1.08969,
1.82578,-7.14028,-19,-32.5,-1.04179,
1.84946,-7.14931,-22,-31.25,-1.05376,
1.854,-7.14931,-22,-31.25,-1.05376,
1.88288,-7.16458,-23,-28.75,-1.02981,
1.88994,-7.16458,-23,-28.75,-0.969941,
1.90869,-7.17083,-23,-27.0833,-0.993891,
1.91442,-7.17083,-22,-27.0833,-0.945992,
1.92079,-7.17778,-22,-25.4167,-0.945992,
1.93606,-7.17778,-24,-25.4167,-0.945992,
1.95862,-7.18403,-26,-21.6667,-0.910068,
1.97658,-7.18958,-26,-21.6667,-0.910068,
1.98447,-7.19514,-28,-20,-0.934018,
1.99475,-7.19514,-26,-18.75,-0.898094,
2.00793,-7.19931,-28,-18.75,-0.898094,
2.01283,-7.19931,-30,-18.75,-0.910068,
2.05746,-7.20833,-27,-15,-0.814272,
2.06962,-7.21181,-29,-15,-0.829619,
2.07544,-7.21181,-29,-15,-0.829619,
2.07788,-7.21181,-29,-15,-0.877713,
2.08673,-7.21458,-31,-13.75,-0.877713,
2.08885,-7.21458,-26,-13.75,-0.745455,
2.11546,-7.21736,-28,-12.5,-0.757478,
2.12093,-7.21944,-25,-11.25,-0.709384,
2.15461,-7.22153,-26,-10,-0.66129,
2.16095,-7.22361,-26,-8.75,-0.66129,
2.17652,-7.22361,-28,-8.75,-0.709384,
2.1787,-7.22361,-29,-8.75,-0.685337,
2.18757,-7.225,-29,-7.5,-0.66129,
2.18977,-7.225,-27,-7.5,-0.66129,
2.21346,-7.22569,-28,-6.66667,-0.649267,
2.21674,-7.22569,-28,-6.66667,-0.649267,
2.23638,-7.22569,-27,-5.41667,-0.577126,
2.24108,-7.22569,-27,-4.16667,-0.577126,
2.25119,-7.22569,-25,-4.16667,-0.529032,
2.25427,-7.22569,-25,-4.16667,-0.504985,
2.27962,-7.22569,-28,-1.66667,-0.541056,
2.28851,-7.22569,-26,-1.66667,-0.492962,
2.31281,-7.22569,-28,-0.833333,-0.504985,
2.3153,-7.22569,-28,-0.833333,-0.504985,
2.32777,-7.22569,-23,-0.416667,-0.420821,
2.33037,-7.22569,-23,-0.416667,-0.420821,
2.35512,-7.22569,-17,0,-0.288563,
2.35953,-7.22569,-17,0,-0.288563,
2.38564,-7.22569,-17,0,-0.288563,
2.38802,-7.22569,-17,0,-0.288563,
2.4154,-7.22569,-13,0,-0.216422,
2.41999,-7.22569,-8,0,-0.144282,
2.45258,-7.22569,-8,0,-0.144282,
2.45968,-7.22569,-8,0,-0.0721408,
2.47918,-7.22569,-4,0,-0.0721408,
2.4816,-7.22569,-4,0,-0.0721408,
0.009382,0,-2,0,0,
0.048857,0,-2,0,0,
0.070022,0,-2,0,0,
0.115763,0,-2,0,0,
0.145223,0,0,0,0,
0.158555,0,0,0,-0.0484848,
0.183692,0,-6,0,-0.909091,
0.231696,-0.00416667,-34,0,-2.19717,
0.274443,-0.0180556,-63,-4.16667,-3.73035,
0.305595,-0.0555556,-89,-15.8333,-5.09453,
0.322335,-0.0555556,-89,-15.8333,-4.75073,
0.347023,-0.122222,-82,-40.4167,-4.67375,
0.399683,-0.213194,-79,-76.25,-5.2456,
0.452311,-0.379861,-32,-131.667,-3.48871,
0.484725,-0.499306,1,-157.917,-2.40484,
0.509595,-0.55625,-17,-166.25,-3.35323,
0.533548,-0.613194,0,-171.25,-2.77742,
0.585235,-0.784722,48,-172.917,-1.21642,
0.599458,-0.784722,55,-172.917,-1.03754,
0.62715,-0.872222,12,-161.25,-2.5044,
0.669283,-0.972222,23,-154.583,-2.1195,
0.705757,-1.06458,24,-144.583,-2.15543,
0.720254,-1.06458,24,-144.583,-2.15543,
